Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.34      0.01     0.01    97805     0.00     0.00  __gnu_cxx::new_allocator<float>::new_allocator(__gnu_cxx::new_allocator<float> const&)
 33.34      0.02     0.01    51764     0.00     0.00  Laguerre<float>::ElevateComplex(std::complex<float>, int)
 33.34      0.03     0.01    28127     0.00     0.00  std::complex<float>::__rep() const
  0.00      0.03     0.00   214920     0.00     0.00  std::complex<double>::real[abi:cxx11]() const
  0.00      0.03     0.00   211923     0.00     0.00  std::complex<float>::real[abi:cxx11]() const
  0.00      0.03     0.00   208672     0.00     0.00  std::complex<double>::imag[abi:cxx11]() const
  0.00      0.03     0.00   205749     0.00     0.00  std::complex<float>::imag[abi:cxx11]() const
  0.00      0.03     0.00   106312     0.00     0.00  std::complex<double>& std::complex<double>::operator*=<double>(std::complex<double> const&)
  0.00      0.03     0.00   106312     0.00     0.00  std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&)
  0.00      0.03     0.00   104717     0.00     0.00  std::complex<float>& std::complex<float>::operator*=<float>(std::complex<float> const&)
  0.00      0.03     0.00   104717     0.00     0.00  std::complex<float> std::operator*<float>(std::complex<float> const&, std::complex<float> const&)
  0.00      0.03     0.00   102212     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.03     0.00   101406     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      0.03     0.00   101404     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::base() const
  0.00      0.03     0.00   100622     0.00     0.00  std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator()
  0.00      0.03     0.00   100331     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.03     0.00    99523     0.00     0.00  __gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >::__normal_iterator(float const* const&)
  0.00      0.03     0.00    99246     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      0.03     0.00    99246     0.00     0.00  std::allocator<double>::~allocator()
  0.00      0.03     0.00    98619     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      0.03     0.00    98619     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      0.03     0.00    98432     0.00     0.00  __gnu_cxx::new_allocator<float>::~new_allocator()
  0.00      0.03     0.00    98432     0.00     0.00  std::allocator<float>::~allocator()
  0.00      0.03     0.00    97976     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, false>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.03     0.00    97976     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >, true>::_S_base(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.03     0.00    97976     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.03     0.00    97976     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >)
  0.00      0.03     0.00    97805     0.00     0.00  std::allocator<float>::allocator(std::allocator<float> const&)
  0.00      0.03     0.00    97168     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, false>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
  0.00      0.03     0.00    97168     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >, true>::_S_base(__gnu_cxx::__normal_iterator<float const*, std::vector<float, std::allocator<float> > >)
